Name,geo_loc
Bangalore Banashankari,"(12.9309217, 77.5559127)"
Bangalore Basavanagudi,"(12.9417261, 77.5755021)"
Bangalore Mysore Road,"(12.7968386, 77.3876522)"
Bangalore Jayanagar,"(12.9292731, 77.5824229)"
Bangalore Kumaraswamy Layout,"(12.9067683, 77.5595021)"
Bangalore Rajarajeshwari Nagar,"(12.9274413, 77.5155224)"
Bangalore Vijay Nagar,
Bangalore Uttarahalli,"(12.9055682, 77.5455438)"
Bangalore JP Nagar,"(12.9096941, 77.5866067)"
Bangalore South Bangalore,"(12.98815675, 77.62260003796)"
Bangalore City Market,"(12.965717999999999, 77.5762705372058)"
Bangalore Nagarbhavi,"(12.9651626, 77.50909758891439)"
Bangalore Bannerghatta Road,"(12.9354356, 77.6012795)"
Bangalore BTM,"(12.911275849999999, 77.60456543431182)"
Bangalore Kanakapura Road,"(12.9308245, 77.5762084)"
Bangalore Bommanahalli,"(12.9089453, 77.6239038)"
Bangalore nan,"(52.49148485, 1.2372484335227272)"
Bangalore Electronic City,"(12.848759900000001, 77.64825295827616)"
Bangalore HSR,"(12.9116225, 77.6388622)"
Bangalore Marathahalli,"(12.9552572, 77.6984163)"
Bangalore Sarjapur Road,"(12.9238287, 77.6540991)"
Bangalore Wilson Garden,"(12.9489339, 77.5968273)"
Bangalore Shanti Nagar,"(12.9575547, 77.5979099)"
Bangalore Koramangala 5th Block,"(12.9348429, 77.6189768)"
Bangalore Koramangala 8th Block,"(12.9408685, 77.617338)"
Bangalore Richmond Road,"(12.965297, 77.600367)"
Bangalore Koramangala 7th Block,"(12.9364846, 77.6134783)"
Bangalore Jalahalli,"(13.0394104, 77.5197351)"
Bangalore Koramangala 4th Block,"(12.9327778, 77.6294052)"
Bangalore Bellandur,"(12.93103185, 77.6782471)"
Bangalore Whitefield,"(12.9696365, 77.7497448)"
Bangalore East Bangalore,"(12.98815675, 77.62260003796)"
Bangalore Old Airport Road,"(12.9582481, 77.6677224)"
Bangalore Indiranagar,"(12.9732913, 77.6404672)"
Bangalore Koramangala 1st Block,"(12.9277245, 77.6327822)"
Bangalore Frazer Town,"(12.9986827, 77.615525)"
Bangalore RT Nagar,"(13.0227204, 77.595715)"
Bangalore MG Road,"(12.9755264, 77.6067902)"
Bangalore Brigade Road,"(12.9672765, 77.6065676)"
Bangalore Lavelle Road,"(12.9720412, 77.5985228)"
Bangalore Church Street,"(12.9755105, 77.6026774)"
Bangalore Ulsoor,"(12.9778793, 77.6246697)"
Bangalore Residency Road,"(12.9717141, 77.6065789)"
Bangalore Shivajinagar,"(12.986391, 77.6075416)"
Bangalore Infantry Road,"(12.9821293, 77.5988521)"
Bangalore St. Marks Road,"(12.9744255, 77.6015301)"
Bangalore Cunningham Road,"(12.9910375, 77.5858824)"
Bangalore Race Course Road,"(12.9838448, 77.5803626)"
Bangalore Commercial Street,"(12.9822324, 77.6082947)"
Bangalore Vasanth Nagar,"(12.9934283, 77.5902145)"
Bangalore HBR Layout,"(13.0358698, 77.6323597)"
Bangalore Domlur,"(12.9624669, 77.6381958)"
Bangalore Ejipura,"(12.945245, 77.6269144)"
Bangalore Jeevan Bhima Nagar,"(12.9678074, 77.6568367)"
Bangalore Old Madras Road,"(12.9838042, 77.6396887)"
Bangalore Malleshwaram,"(13.0027353, 77.5703253)"
Bangalore Seshadripuram,"(12.9931876, 77.5753419)"
Bangalore Kammanahalli,"(13.0093455, 77.6377094)"
Bangalore Koramangala 6th Block,"(12.9390255, 77.6238477)"
Bangalore Majestic,"(12.9783547, 77.5728609)"
Bangalore Langford Town,"(12.957998, 77.6037312)"
Bangalore Central Bangalore,"(12.97339325, 77.61124684880099)"
Bangalore Brookefield,"(12.96381425, 77.72243691580387)"
"Bangalore ITPL Main Road, Whitefield","(12.9697674, 77.7126289)"
"Bangalore Varthur Main Road, Whitefield","(12.95896715, 77.74671821258022)"
Bangalore KR Puram,"(13.007516, 77.695935)"
Bangalore Koramangala 2nd Block,"(12.9243692, 77.6242433)"
Bangalore Koramangala 3rd Block,"(12.9282918, 77.6254034)"
Bangalore Koramangala,"(12.9340114, 77.6222304)"
Bangalore Hosur Road,"(12.9585353, 77.6061062)"
Bangalore Banaswadi,"(13.0141618, 77.6518539)"
Bangalore North Bangalore,"(12.98815675, 77.62260003796)"
Bangalore Nagawara,"(13.0422794, 77.6248577)"
Bangalore Hennur,"(13.0258087, 77.6305067)"
Bangalore Kalyan Nagar,"(13.0221416, 77.6403368)"
Bangalore New BEL Road,"(13.0170347, 77.5726006)"
Bangalore Jakkur,"(13.0784743, 77.6068938)"
Bangalore Rammurthy Nagar,
Bangalore Thippasandra,"(12.973936, 77.6509982)"
Bangalore CV Raman Nagar,"(12.985098650000001, 77.66311735)"
Bangalore Kaggadasapura,"(12.9846713, 77.6790908)"
Bangalore Rajajinagar,"(12.9882338, 77.554883)"
Bangalore Kengeri,"(12.9229728, 77.4842926)"
Bangalore Sankey Road,"(13.0078748, 77.5726676)"
Bangalore Sanjay Nagar,"(12.9578658, 77.6958748)"
Bangalore Sadashiv Nagar,
Bangalore Basaveshwara Nagar,"(12.99118045, 77.54489175084052)"
Bangalore Yeshwantpur,"(13.02383, 77.5529215)"
Bangalore West Bangalore,"(12.9781739, 77.5695603)"
Bangalore Magadi Road,"(12.9756527, 77.5553548)"
Bangalore Yelahanka,"(13.1006982, 77.5963454)"
Bangalore Sahakara Nagar,"(13.0621474, 77.58006135480495)"
Bangalore Hebbal,"(13.0382184, 77.5919)"
Bangalore Peenya,"(13.0329419, 77.5273253)"
